Type,50,50Avg,50L1Norm,50Mean,150,150Avg,150L1Norm,150Mean,250,250Avg,250L1Norm,250Mean,350,350Avg,350L1Norm,350Mean,450,450Avg,450L1Norm,450Mean,570,570Avg,570L1Norm,570Mean,700,700Avg,700L1Norm,700Mean,840,840Avg,840L1Norm,840Mean,1000,1000Avg,1000L1Norm,1000Mean,1170,1170Avg,1170L1Norm,1170Mean,1370,1370Avg,1370L1Norm,1370Mean,1600,1600Avg,1600L1Norm,1600Mean,1850,1850Avg,1850L1Norm,1850Mean,2000,2000Avg,2000L1Norm,2000Mean,2150,2150Avg,2150L1Norm,2150Mean,2500,2500Avg,2500L1Norm,2500Mean,2900,2900Avg,2900L1Norm,2900Mean,3000,3000Avg,3000L1Norm,3000Mean,3400,3400Avg,3400L1Norm,3400Mean,4000,4000Avg,4000L1Norm,4000Mean,4800,4800Avg,4800L1Norm,4800Mean,5000,5000Avg,5000L1Norm,5000Mean,5800,5800Avg,5800L1Norm,5800Mean,6000,6000Avg,6000L1Norm,6000Mean,7000,7000Avg,7000L1Norm,7000Mean,8000,8000Avg,8000L1Norm,8000Mean,8500,8500Avg,8500L1Norm,8500Mean,9000,9000Avg,9000L1Norm,9000Mean,10000,10000Avg,10000L1Norm,10000Mean,10500,10500Avg,10500L1Norm,10500Mean,11000,11000Avg,11000L1Norm,11000Mean,12000,12000Avg,12000L1Norm,12000Mean,13000,13000Avg,13000L1Norm,13000Mean,13500,13500Avg,13500L1Norm,13500Mean,14000,14000Avg,14000L1Norm,14000Mean,15000,15000Avg,15000L1Norm,15000Mean,16000,16000Avg,16000L1Norm,16000Mean,17000,17000Avg,17000L1Norm,17000Mean,18000,18000Avg,18000L1Norm,18000Mean,19000,19000Avg,19000L1Norm,19000Mean,20000,20000Avg,20000L1Norm,20000Mean
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61233234,9.641557E-06,0.039491817,9.641557E-06,0.71464807,9.458563E-06,0.038742274,9.458563E-06,0.7967242,8.845083E-06,0.03622946,8.845083E-06,0.8684416,8.22259E-06,0.033679727,8.22259E-06,0.93084395,8.333612E-06,0.034134474,8.333612E-06,1.0062369,1.0769834E-05,0.04411324,1.0769834E-05,1.0651991,1.4455122E-05,0.05920818,1.4455122E-05,1.0857923,1.6320226E-05,0.066847645,1.6320226E-05,1.0907164,1.7684812E-05,0.07243699,1.7684812E-05,1.0884471,1.9025809E-05,0.07792971,1.9025809E-05,1.0308344,1.8467259E-05,0.07564189,1.8467259E-05,1.0228331,1.8146853E-05,0.07432951,1.8146853E-05,1.0212417,1.6604183E-05,0.06801073,1.6604183E-05,1.0568281,1.4266076E-05,0.058433846,1.4266076E-05,1.0930065,1.1781221E-05,0.04825588,1.1781221E-05,1.1057007,1.1279404E-05,0.04620044,1.1279404E-05,1.1422614,9.683397E-06,0.039663196,9.683397E-06,1.1465176,9.375567E-06,0.038402323,9.375567E-06,1.1353445,8.270221E-06,0.033874825,8.270221E-06,1.0956845,7.68569E-06,0.031480588,7.68569E-06,1.0658917,7.5083053E-06,0.030754019,7.5083053E-06,1.0541239,7.3710626E-06,0.030191872,7.3710626E-06,1.0481359,7.134154E-06,0.029221496,7.134154E-06,1.0281851,7.0041947E-06,0.028689181,7.0041947E-06,0.9899211,6.853007E-06,0.028069917,6.853007E-06,0.869272,6.4669066E-06,0.02648845,6.4669066E-06,0.70822626,5.966715E-06,0.024439665,5.966715E-06,0.72814626,5.6833665E-06,0.023279069,5.6833665E-06,0.7473877,5.38285E-06,0.022048153,5.38285E-06,0.75014764,4.737637E-06,0.019405361,4.737637E-06,0.70835054,4.033032E-06,0.016519299,4.033032E-06,0.63673747,3.2711325E-06,0.013398559,3.2711325E-06,0.5696179,2.5368104E-06,0.010390775,2.5368104E-06,0.52821374,1.777559E-06,0.0072808815,1.777559E-06,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5181008,3.6741253E-06,0.015049217,3.6741253E-06,0.6106946,8.496182E-06,0.03480036,8.496182E-06,0.74069315,8.399428E-06,0.034404058,8.399428E-06,0.8546318,8.11192E-06,0.033226423,8.11192E-06,0.93331236,7.631061E-06,0.031256825,7.631061E-06,1.0013961,6.9838106E-06,0.028605688,6.9838106E-06,1.0425974,6.264767E-06,0.025660485,6.264767E-06,1.0833874,5.555018E-06,0.022753354,5.555018E-06,1.1010253,5.159796E-06,0.021134524,5.159796E-06,1.1207815,4.7857143E-06,0.019602286,4.7857143E-06,1.154908,4.014624E-06,0.0164439,4.014624E-06,1.2018752,3.3738932E-06,0.013819466,3.3738932E-06,1.2232169,3.2598477E-06,0.013352336,3.2598477E-06,1.2772753,2.9747823E-06,0.012184708,2.9747823E-06,1.2520155,2.9074276E-06,0.011908824,2.9074276E-06,1.2889377,3.057023E-06,0.012521566,3.057023E-06,1.284772,3.0991073E-06,0.012693943,3.0991073E-06,1.2415407,3.2542362E-06,0.013329351,3.2542362E-06,1.2269028,3.2802309E-06,0.013435826,3.2802309E-06,1.1815753,3.3322426E-06,0.013648866,3.3322426E-06,1.1625081,3.3144975E-06,0.013576182,3.3144975E-06,1.1275631,3.2959476E-06,0.0135002015,3.2959476E-06,1.1197841,3.2741439E-06,0.013410893,3.2741439E-06,1.0680541,3.2180908E-06,0.0131813,3.2180908E-06,1.021137,3.1800898E-06,0.013025648,3.1800898E-06,0.9985316,3.1330824E-06,0.012833105,3.1330824E-06,0.9690426,3.0107367E-06,0.0123319775,3.0107367E-06,1.07032,2.858189E-06,0.011707142,2.858189E-06,1.1108851,2.7734518E-06,0.011360059,2.7734518E-06,1.1394523,2.6816772E-06,0.01098415,2.6816772E-06,1.1536773,2.4587837E-06,0.010071178,2.4587837E-06,1.1006556,2.1465273E-06,0.008792176,2.1465273E-06,0.973329,1.7404523E-06,0.0071288925,1.7404523E-06,0.7759116,1.3173434E-06,0.0053958385,1.3173434E-06,0.7126286,4.3571285E-07,0.0017846798,4.3571285E-07,0.6461153,3.489953E-07,0.0014294847,3.489953E-07
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5884341,7.736108E-06,0.0316871,7.736108E-06,0.70418274,7.5084017E-06,0.030754413,7.5084017E-06,0.8164601,7.307984E-06,0.029933503,7.307984E-06,0.89919126,7.009407E-06,0.028710531,7.009407E-06,0.98421407,6.5667477E-06,0.026897399,6.5667477E-06,1.0493608,6.0202615E-06,0.024658991,6.0202615E-06,1.11139,5.4251996E-06,0.022221617,5.4251996E-06,1.1353962,5.0705094E-06,0.020768806,5.0705094E-06,1.1584355,4.721373E-06,0.019338744,4.721373E-06,1.1542842,3.9708266E-06,0.016264506,3.9708266E-06,1.1627392,3.3272918E-06,0.013628587,3.3272918E-06,1.177605,3.2114917E-06,0.01315427,3.2114917E-06,1.1887511,2.91945E-06,0.011958067,2.91945E-06,1.1751175,2.8472678E-06,0.011662409,2.8472678E-06,1.1368921,3.060286E-06,0.012534931,3.060286E-06,1.1185064,3.1196862E-06,0.012778235,3.1196862E-06,1.0377792,3.250103E-06,0.013312422,3.250103E-06,1.0536008,3.2586438E-06,0.013347405,3.2586438E-06,1.1116146,3.2188073E-06,0.0131842345,3.2188073E-06,1.1301318,3.1350864E-06,0.012841314,3.1350864E-06,1.125875,3.0998467E-06,0.012696972,3.0998467E-06,1.1133726,3.0718952E-06,0.012582483,3.0718952E-06,1.0620693,3.0264787E-06,0.012396457,3.0264787E-06,1.0206938,3.000105E-06,0.01228843,3.000105E-06,0.99341416,2.966201E-06,0.012149559,2.966201E-06,1.1241812,2.8705824E-06,0.011757906,2.8705824E-06,1.2158271,2.7434792E-06,0.011237291,2.7434792E-06,1.2254018,2.6706587E-06,0.010939018,2.6706587E-06,1.2074112,2.5899274E-06,0.0106083425,2.5899274E-06,1.2179626,2.3851755E-06,0.009769679,2.3851755E-06,1.1252023,2.0837124E-06,0.008534886,2.0837124E-06,0.98838174,1.6763255E-06,0.006866229,1.6763255E-06,0.8892659,1.2356783E-06,0.005061338,1.2356783E-06,0.8025236,3.8319013E-07,0.0015695468,3.8319013E-07,0.58151984,3.2702914E-07,0.0013395114,3.2702914E-07
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502342,7.7626455E-06,0.031795796,7.7626455E-06,0.6065107,7.5304238E-06,0.030844616,7.5304238E-06,0.6884865,7.3365736E-06,0.030050606,7.3365736E-06,0.7275394,7.0503306E-06,0.028878154,7.0503306E-06,0.74999315,6.6129755E-06,0.027086748,6.6129755E-06,0.8277565,6.042895E-06,0.024751699,6.042895E-06,0.8568593,5.3936474E-06,0.02209238,5.3936474E-06,0.90823644,5.006157E-06,0.02050522,5.006157E-06,0.9735872,4.6325545E-06,0.018974943,4.6325545E-06,1.0592699,3.8679896E-06,0.015843285,3.8679896E-06,1.0762162,3.2438254E-06,0.013286709,3.2438254E-06,1.0923266,3.1296295E-06,0.012818962,3.1296295E-06,1.130883,2.807167E-06,0.011498156,2.807167E-06,1.139706,2.5796862E-06,0.010566395,2.5796862E-06,1.1045259,2.4430576E-06,0.010006764,2.4430576E-06,1.0904082,2.414465E-06,0.009889648,2.414465E-06,1.0179859,2.2993872E-06,0.00941829,2.2993872E-06,0.99637467,2.2726554E-06,0.009308796,2.2726554E-06,0.95718604,2.2069635E-06,0.009039722,2.2069635E-06,0.9530383,2.4122364E-06,0.00988052,2.4122364E-06,0.94071674,2.5365318E-06,0.010389634,2.5365318E-06,0.92089695,2.6440002E-06,0.010829825,2.6440002E-06,0.85929275,2.7836402E-06,0.01140179,2.7836402E-06,0.81920576,2.8128507E-06,0.011521436,2.8128507E-06,0.77495736,2.817107E-06,0.011538871,2.817107E-06,0.69601166,2.766248E-06,0.0113305515,2.766248E-06,0.6831618,2.6656194E-06,0.010918377,2.6656194E-06,0.66281295,2.6043697E-06,0.010667498,2.6043697E-06,0.63373977,2.5357497E-06,0.010386431,2.5357497E-06,0.61493725,2.3602643E-06,0.009667642,2.3602643E-06,0.63413876,2.0960904E-06,0.008585586,2.0960904E-06,0.6106621,1.7292139E-06,0.00708286,1.7292139E-06,0.5311748,1.3192226E-06,0.005403536,1.3192226E-06,0,0,0,0,0,0,0,0
